Ref Temp [C],Ref Temp [K],R/G,G/B,Ravg,Gavg,Bavg,Pred Temp [K]
1187.516667,1460.666667,1.73104079,5.450826298,10505.6,6068.95,1113.4,1474.192797
1187.516667,1460.666667,1.715964138,5.410800466,11158.4,6502.7,1201.8,1483.231256
1187.516667,1460.666667,1.731606169,5.573320637,11148.6,6438.3,1155.2,1473.857799
1187.516667,1460.666667,1.733134684,5.519282954,11632.8,6712,1216.1,1472.953527
1187.516667,1460.666667,1.670681004,5.359200922,11653,6975,1301.5,1511.679775
1187.516667,1460.666667,1.691884627,5.411973144,12274.2,7254.75,1340.5,1498.105755
1187.516667,1460.666667,1.712005095,5.405669038,12096.6,7065.75,1307.1,1485.639039
1187.516667,1460.666667,1.679106503,5.346039499,12681.2,7552.35,1412.7,1506.230537
1187.516667,1460.666667,1.693160409,5.41516383,10829.2,6395.85,1181.1,1497.303588
1187.516667,1460.666667,1.69381403,5.426498048,10829.4,6393.5,1178.2,1496.893239
1187.516667,1460.666667,1.693261341,5.421779402,10803.6,6380.35,1176.8,1497.240194
1258.215444,1531.365444,1.629879441,5.210245464,11139.9,6834.8,1311.8,1539.17194
1258.215444,1531.365444,1.650989115,5.271294355,11208.4,6788.9,1287.9,1524.713147
1258.215444,1531.365444,1.630768548,5.189438133,11025.3,6760.8,1302.8,1538.552368
1258.215444,1531.365444,1.6356078,5.232858088,11646.1,7120.35,1360.7,1535.196736
1258.215444,1531.365444,1.632070687,5.275825646,12227.8,7492.2,1420.1,1537.64669
1258.215444,1531.365444,1.646581957,5.142262607,12207.1,7413.6,1441.7,1527.689112
1258.215444,1531.365444,1.613138073,5.163072506,12474.8,7733.25,1497.8,1551.018813
1258.215444,1531.365444,1.610844745,5.187470853,10751.1,6674.2,1286.6,1552.668937
1258.215444,1531.365444,1.636488402,5.297534376,10970.2,6703.5,1265.4,1534.589103
1258.215444,1531.365444,1.646038401,5.278383579,10836.2,6583.2,1247.2,1528.057686
1258.215444,1531.365444,1.627443604,5.201640825,11247.1,6910.9,1328.6,1540.874232
1258.215444,1531.365444,1.617933836,5.206721361,11192.3,6917.65,1328.6,1547.589602
1258.215444,1531.365444,1.659376414,5.316442645,11551.5,6961.35,1309.4,1519.10989
1258.215444,1531.365444,1.626073063,5.206485724,12009.2,7385.4,1418.5,1541.835201
1258.215444,1531.365444,1.634113435,5.188745288,12596.4,7708.4,1485.6,1536.229981
1258.215444,1531.365444,1.653285823,5.187858117,12573.9,7605.4,1466,1523.170988
1258.215444,1531.365444,1.6075092,5.118876826,12733,7920.95,1547.4,1555.08097
1258.215444,1531.365444,1.655187671,5.322213501,11223,6780.5,1274,1521.898441
1258.215444,1531.365444,1.648122605,5.290540541,11291.7,6851.25,1295,1526.646266
1258.215444,1531.365444,1.641494418,5.285447084,10993.4,6697.19,1267.1,1531.15217
1309.219623,1582.369623,1.588068034,5.123117298,10695.4,6734.85,1314.6,1569.429743
1309.219623,1582.369623,1.566358739,4.996048315,10495.7,6700.7,1341.2,1586.065086
1309.219623,1582.369623,1.585431135,5.06716094,11106.5,7005.35,1382.5,1571.415091
1309.219623,1582.369623,1.574223373,5.05860393,11305.6,7181.7,1419.7,1579.961422
1309.219623,1582.369623,1.520967299,4.960402284,11365.2,7472.35,1506.4,1623.125021
1309.219623,1582.369623,1.56358535,5.003134583,11480,7342.1,1467.5,1588.23891
1309.219623,1582.369623,1.543208809,4.896247313,11597.6,7515.25,1534.9,1604.563647
1309.219623,1582.369623,1.555884486,5.057568498,10511.4,6755.9,1335.8,1594.334619
1309.219623,1582.369623,1.551912733,5.001316879,10314.4,6646.25,1328.9,1597.513286
1309.219623,1582.369623,1.577091712,5.109463113,10431.2,6614.2,1294.5,1577.757392
1309.219623,1582.369623,1.592251837,5.062297018,10920.3,6858.4,1354.8,1566.299203
1309.219623,1582.369623,1.566389356,5.063809662,10901.6,6959.7,1374.4,1586.04115
1309.219623,1582.369623,1.566601546,4.994571566,11387,7268.6,1455.3,1585.875305
1309.219623,1582.369623,1.570202616,5.02874837,12112.7,7714.1,1534,1583.070741
1309.219623,1582.369623,1.549445956,4.960220748,12046.4,7774.65,1567.4,1599.499576
1309.219623,1582.369623,1.567027433,4.982070143,11887,7585.7,1522.6,1585.542636
1309.219623,1582.369623,1.539337714,4.899621212,11946.8,7761,1584,1607.737187
1309.219623,1582.369623,1.591973486,5.042767479,10999.9,6909.6,1370.2,1566.506743
1309.219623,1582.369623,1.580006122,5.041966779,10839,6860.1,1360.6,1575.529872
1309.219623,1582.369623,1.572861497,5.067776278,10631.6,6759.4,1333.8,1581.011988
1385.929365,1659.079365,1.503790438,4.774128046,12021,7993.8,1674.4,1638.021993
1385.929365,1659.079365,1.498084607,4.753807718,11829.7,7896.55,1661.1,1643.083725
1385.929365,1659.079365,1.495679373,4.785323238,12289.1,8216.4,1717,1645.234781
1385.929365,1659.079365,1.477451065,4.721905537,12850.5,8697.75,1842,1661.879523
1385.929365,1659.079365,1.474940334,4.802650119,13070.7,8861.85,1845.2,1664.220644
1385.929365,1659.079365,1.495743078,4.762065217,13106,8762.2,1840,1645.177674
1385.929365,1659.079365,1.457316057,4.633026302,12681.2,8701.75,1878.2,1680.997143
1385.929365,1659.079365,1.479011421,4.701860438,11849.1,8011.5,1703.9,1660.430586
1385.929365,1659.079365,1.495130264,4.779513147,11713,7834.1,1639.1,1645.727315
1385.929365,1659.079365,1.470781046,4.723999045,11644.1,7916.95,1675.9,1668.125417
1385.929365,1659.079365,1.475606162,4.719388057,11767,7974.35,1689.7,1663.598629
1385.929365,1659.079365,1.495364665,4.850150187,11831.4,7912.05,1631.3,1645.516998
1385.929365,1659.079365,1.466510651,4.753822455,12219.7,8332.5,1752.8,1672.169187
1385.929365,1659.079365,1.487608667,4.782853186,12842.6,8633.05,1805,1652.528898
1385.929365,1659.079365,1.474509052,4.690880703,13068.5,8862.95,1889.4,1664.623998
1385.929365,1659.079365,1.497813695,4.774401574,13085.2,8736.2,1829.8,1643.325491
1385.929365,1659.079365,1.460889435,4.670375113,12786.8,8752.75,1874.1,1677.54639
1385.929365,1659.079365,1.466788333,4.694664382,11654,7945.25,1692.4,1671.905165
1385.929365,1659.079365,1.474534957,4.712461913,11402.8,7733.15,1641,1664.59976
1385.929365,1659.079365,1.48411722,4.730080573,11762,7925.25,1675.5,1655.721306
1503.112704,1776.262704,1.379775182,4.437979862,13111.7,9502.78,2141.24,1762.627143
1503.112704,1776.262704,1.380011303,4.398278013,12844.4,9307.46,2116.16,1762.357478
1503.112704,1776.262704,1.365937881,4.398587085,13267.3,9712.96,2208.2,1778.674268
1503.112704,1776.262704,1.365128892,4.416032061,13869.3,10159.7,2300.64,1779.627502
1503.112704,1776.262704,1.369160629,4.362211978,14069.7,10276.15,2355.72,1774.893556
1503.112704,1776.262704,1.380864756,4.363698933,14183,10271.1,2353.76,1761.38393
1503.112704,1776.262704,1.357297357,4.298088328,13378.5,9856.72,2293.28,1788.943079
1503.112704,1776.262704,1.365997058,4.379877992,12945.8,9477.18,2163.8,1778.604605
1503.112704,1776.262704,1.370526257,4.362281623,12757.9,9308.76,2133.92,1773.299488
1503.112704,1776.262704,1.371148078,4.415462824,12790.7,9328.46,2112.68,1772.575219
1503.112704,1776.262704,1.364690128,4.418614797,13268.5,9722.72,2200.4,1780.145202
1503.112704,1776.262704,1.368187071,4.478507735,13165.9,9622.88,2148.68,1776.03287
1503.112704,1776.262704,1.367035846,4.402943336,13774.8,10076.4,2288.56,1777.383223
1503.112704,1776.262704,1.371959039,4.336582813,14549.9,10605.2,2445.52,1771.63212
1503.112704,1776.262704,1.342225542,4.329528819,13655.4,10173.7,2349.84,1807.327625
1503.112704,1776.262704,1.381341455,4.384670918,14514.1,10507.25,2396.36,1760.840937
1503.112704,1776.262704,1.344291223,4.310579125,13560,10087.1,2340.08,1804.771715
1503.112704,1776.262704,1.377760568,4.430836302,13022.4,9451.86,2133.2,1764.93358
1503.112704,1776.262704,1.366371341,4.450752898,13198.3,9659.38,2170.28,1778.164214
1503.112704,1776.262704,1.368862522,4.354464566,12889.1,9415.92,2162.36,1775.242161
1589.939914,1863.089914,1.277456041,4.034344483,13996,10956.15,2715.72,1893.723237
1589.939914,1863.089914,1.290114991,4.097786616,13451.9,10426.9,2544.52,1875.839229
1589.939914,1863.089914,1.287942065,4.099319971,13276.3,10308.15,2514.6,1878.872955
1589.939914,1863.089914,1.282590082,4.067839989,13556.4,10569.55,2598.32,1886.408626
1589.939914,1863.089914,1.28465932,4.070115442,14203.9,11056.55,2716.52,1883.484348
1589.939914,1863.089914,1.289111637,4.0949521,14326.8,11113.7,2714,1877.23822
1589.939914,1863.089914,1.266100522,3.994993275,13537.4,10692.2,2676.4,1910.20573
1589.939914,1863.089914,1.277869212,4.119453726,13548.8,10602.65,2573.8,1893.131446
1589.939914,1863.089914,1.287867684,4.108798847,13443.6,10438.65,2540.56,1878.977065
1589.939914,1863.089914,1.292121154,4.09149789,13427.4,10391.75,2539.84,1873.051444
