Ref Temp [C],Ref Temp [K],R/G,G/B,Ravg,Gavg,Bavg,Pred Temp [K]
1503.112704,1776.262704,1.664682051,5.560273973,12162.5,7306.2,1314,1696.608129
1503.112704,1776.262704,1.730924449,5.569785677,9221.5,5327.5,956.5,1638.751934
1589.939914,1863.089914,1.415371614,5.135011331,15073,10649.5,2073.9,1966.58897
1589.939914,1863.089914,1.403710868,5.249355898,14586.1,10391.1,1979.5,1981.942057
1589.939914,1863.089914,1.495605502,5.119354285,13375.2,8943,1746.9,1868.587846
1589.939914,1863.089914,1.437389308,5.101221349,13147.8,9147,1793.1,1938.409056
1589.939914,1863.089914,1.463594148,5.180544202,12985.3,8872.2,1712.6,1906.175818
1589.939914,1863.089914,1.460366597,5.224910851,11982.6,8205.2,1570.4,1910.072386
1589.939914,1863.089914,1.473517865,5.260089921,14825.8,10061.5,1912.8,1894.320103
1589.939914,1863.089914,1.482950486,5.232822619,14738.6,9938.7,1899.3,1883.222357
1589.939914,1863.089914,1.468941347,5.204192872,14586,9929.6,1908,1899.764345
1589.939914,1863.089914,1.492449155,5.293895881,14250.8,9548.6,1803.7,1872.211093
1728.477732,2001.627732,1.406388642,4.926775956,13948,9917.6,2013,1978.389354
1728.477732,2001.627732,1.40775524,4.92654424,14540,10328.5,2096.5,1976.58249
1728.477732,2001.627732,1.406621258,4.944101811,14208,10100.8,2043,1978.081501
1728.477732,2001.627732,1.438908146,4.918486947,13284,9232,1877,1936.502914
1728.477732,2001.627732,1.399456522,4.843760684,11896.5,8500.8,1755,1987.620068
1728.477732,2001.627732,1.40341541,4.908776049,11735.5,8362.1,1703.5,1982.335049
1728.477732,2001.627732,1.409121304,4.886898638,11379.5,8075.6,1652.5,1974.780534
1728.477732,2001.627732,1.34363263,4.797137445,15311.5,11395.6,2375.5,2066.175003
1728.477732,2001.627732,1.316779141,4.880754557,15161,11513.7,2359,2106.864443
1728.477732,2001.627732,1.383627685,4.785290087,14493.5,10475,2189,2009.115793
1828.89725,2102.04725,1.302993474,4.631646168,12758,9791.3,2114,2128.550466
1828.89725,2102.04725,1.321589598,4.622879302,12604,9537,2063,2099.427007
1828.89725,2102.04725,1.335099338,4.535896666,10080,7550,1664.5,2078.888737
1828.89725,2102.04725,1.300510794,4.720184049,10006,7693.9,1630,2132.515645
1828.89725,2102.04725,1.345340908,4.56379215,11107,8255.9,1809,2063.653433
1828.89725,2102.04725,1.323812656,4.590188679,11272,8514.8,1855,2096.012219
1828.89725,2102.04725,1.303841463,4.641947354,10691.5,8200,1766.5,2127.200334
1828.89725,2102.04725,1.32855338,4.673752583,10515.5,7915,1693.5,2088.776645
1828.89725,2102.04725,1.318109127,4.684593088,13847,10505.2,2242.5,2104.801528
1828.89725,2102.04725,1.350107768,4.722954092,12778.5,9464.8,2004,2056.658181
1926.85337,2200.00337,1.22757116,4.576857288,12153.2,9900.2,2163.1,2257.810587
1926.85337,2200.00337,1.245511438,4.519203346,11841.7,9507.5,2103.8,2225.334498
1926.85337,2200.00337,1.232052893,4.550226664,10882.6,8832.9,1941.2,2249.590177
1926.85337,2200.00337,1.283434257,4.389822302,11636,9066.3,2065.3,2160.297704
1926.85337,2200.00337,1.277567141,4.376987968,12130.5,9495,2169.3,2170.052544
1926.85337,2200.00337,1.259860655,4.55328818,13128,10420.2,2288.5,2200.165016
1926.85337,2200.00337,1.265082578,4.464608501,12623.5,9978.4,2235,2191.177555
1926.85337,2200.00337,1.259246291,4.384168865,11508,9138.8,2084.5,2201.228369
1926.85337,2200.00337,1.299913988,4.568608853,13148.5,10114.9,2214,2133.471583
1926.85337,2200.00337,1.238553721,4.397852703,14459,11674.1,2654.5,2237.794244
2023.417065,2296.567065,1.2212625,4.291408007,11650.6,9539.8,2223,2269.505708
2023.417065,2296.567065,1.198402806,4.412224535,13460.7,11232.2,2545.7,2313.130671
2023.417065,2296.567065,1.240268724,4.265186569,12461.6,10047.5,2355.7,2234.707297
2023.417065,2296.567065,1.243327818,4.325483943,14502.3,11664.1,2696.6,2229.226666
2023.417065,2296.567065,1.235539937,4.307460577,14309.9,11581.9,2688.8,2243.244138
